"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","BANDWIDTH","CASE/PACKAGE","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","CURRENT OUTPUT","DIGIKEY PART NUMBER","DIMENSIONS","FORWARD VOLTAGE DROP","HIGH LEVEL OUTPUT CURRENT","INTERFACE","LEAD FREE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX POWER DISSIPATION","MAX SUPPLY VOLTAGE","MIN OPERATING TEMPERATURE","MIN SUPPLY VOLTAGE","MOUNT","MPN","NUMBER OF BITS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","ON-STATE RESISTANCE","OPERATING SUPPLY CURRENT","OUTPUT CURRENT","PACKAGE","PACKAGE QUANTITY","PACKAGING","PART NUMBER","PART NUMBER (MPN)","POWER DISSIPATION","PRICING 1","PROPAGATION DELAY","QUIESCENT CURRENT","RADIATION HARDENING","REACH SVHC","STOCK 1","SUPPLIER 1","SUPPLIER PART NUMBER 1","SUPPLY TYPE","TEMPERATURE COEFFICIENT","TERMINATION","TOLERANCE","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","VALUE","VOLTAGE RATING","WEIGHT","SHEETPART","DESIGNATOR","DESCRIPTION"
"LM2776","SOT23-6","","","","","","","*","","","","","","","","","","","","296-43957-1-ND","","","","","","","","Texas Instruments","","","","","","","","","LM2776DBVR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","LM2776 Switched Capacitor Inverter"
"LTC2875","LTC2875","LT-S8_N","","","","","","IC TXRX CAN","Datasheet","https://www.analog.com/media/en/technical-documentation/data-sheets/2875f.pdf","","","","","","","","","","LTC2875IS8#PBF-ND","","","","","","","","Linear Technologies","","","","","","","","","LTC2875IS8#PBF","","","","","","","","","","","","","","8-SOIC (0.154", 3.90mm Width)","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC TXRX CAN 4MBPS 8SO"
"MOUNTING_HOLES","MOUNTING_HOLE","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*","6cm x 6cm"
"NMOS_20V_6A","E3","","","","","","","","Datasheet","http://aosmd.com/res/data_sheets/AO3420.pdf","","","","","","","","","","785-1014-1-ND","","","","","","","","Alpha & Omega","","","","","","","","","AO3420","","","","","","","","","","","","","","TO-236-3, SC-59, SOT-23-3","","","","","","","","","","","","","","","","","","","","","","","","Q?","MOSFET N-CH 20V 6A SOT23"
"NMOS_40V_75A","SOT404","","","","","","","","Datasheet","http://aosmd.com/res/data_sheets/AO3420.pdf","","","","","","","","","","1727-7257-1-ND","","","","","","","","Nexperia USA Inc.","","","","","","","","","BUK768R1-40E,118","","","","","","","","","","","","","","TO-263-3, D²Pak (2 Leads + Tab), TO-263AB","","","","","","","","","","","","Digi-Key","1727-7255-1-ND","","","","","","","","","","","Q?","MOSFET N-CH 40V 75A D2PAK"
"NMOS_60V_360mA","E3","","","","","","","0","Datasheet","http://aosmd.com/res/data_sheets/AO3420.pdf","","","","","","","","","","1727-4692-1-ND","","","","","","","","Nexperia USA Inc.","","","","","","","","","","","","","","","","","","","","","","","TO-236-3, SC-59, SOT-23-3","","","2N7002P,215","","","","","","","","","","","","","","","","","","","","","Q?","MOSFET N-CH 60V 0.36A SOT-23"
"NPN","TO-226-AA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q?",""
"NPN_40V_100mA","SOT23-3","","","","","","","","Datasheet","http://www.mccsemi.com/up_pdf/MMBT3904(SOT-23).pdf","","","","","","","","","","MMBT3904TPMSCT-ND","","","","","","","","Micro Commercial Co","","","","","","","","","MMBT3904-TP","","","","","","","","","","","","","","TO-236-3, SC-59, SOT-23-3","","","","","","","","","","","","","","","","","","","","","","","","Q?","TRANS NPN 40V 0.2A SOT23"
"NTC_THERM_100K","RESC0603(1608)_N","","","","","","","*","","","","","","","","","","","","P10555CT-ND","","","","","","","","Panasonic","","","","","","","","","ERT-J1VV104J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100K","","","*","*","THERM NTC 100KOHM 4700K 0603"
"OSC_2kHz","CDFN-4","","","","","","","2kHz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","DSC6083CI2A-002K000-ND","","","","","","","","","","*","Y?","OSCILLATOR_2kHz"
"PMOS_100V_22A","ONSC-TO-263-2L_N","","","","","","","","Datasheet","https://www.onsemi.com/pub/Collateral/FQB22P10TM_F085-D.PDF","","","","","","","","","","FQB22P10TMCT-ND","","","","","","","","ON Semiconductor","","","","","","","","","FQB22P10TM","","","","","","","","","","","","","","D2PAK (TO-263AB)","","","","","","","","","","","","","","","","","","","","","","","","Q?","MOSFET P-CH 100V 22A D2PAK"
"POT_5K","3362P-1-502LF","","","","","","","","","","","","","","","","","","","3362P-502LF-ND","0.275" x 0.260" Face x 0.185" H (6.99mm x 6.60mm x 4.70mm)","","","","","","","Bourns Inc.","","","","","","","","","3362P-1-502LF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10%","","","5K","","","","R?","TRIMMER 5K OHM 0.5W PC PIN TOP"
"RES_0R_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-0.0GRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603JR-070RL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","","","","0R","","","","R?","RES SMD 0 OHM JUMPER 1/10W 0603"
"RES_0R_1206","Model Name","RESC1206(3216)_N","","","","","","","","","","","","","","","","","","311-0.0ERCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC1206JR-070RL","","","","","","","","","","","","","","1206 (3216 Metric)","","","","","","","","","","","","","","","","","","","","0R","","","","R?","RES SMD 0 OHM JUMPER 1/10W 1206"
"RES_100K_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-261KHRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603FR-07261KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","100K","","","","R?","RES SMD 100K OHM 5% 1/10W 0603"
"RES_100R_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-100HRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603FR-07100RL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","1%","","","100R","","","","R?","RES SMD 100 OHM 1% 1/10W 0603"
"RES_10K_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-10KGRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603JR-0710KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","10K","","","","R?","RES SMD 10K OHM 5% 1/10W 0603"
"RES_10m_2728","STAC-CSS2725-099H_V","","","","","","","","","","","","","","","","","","","CSSH2728FT10L0DKR-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603FR-07698KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","Digi-Key","","","","","1%","","","10m","","","","R?","RES SMD 10mOHM 1% 4W 2728"
"RES_120R_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-120GRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603JR-07120RL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","120R","","","","R?","RES SMD 120 OHM 5% 1/10W 0603"
"RES_150K_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-150KGRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603JR-07150KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","150K","","","","R?","RES SMD 150K OHM 5% 1/10W 0603"
"RES_1K_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-1.0KGRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603JR-071KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","1K","","","","R?","RES SMD 1K OHM 5% 1/10W 0603"
"RES_220R_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","YAG3652CT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","AC0603JR-07220RL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","220R","","","","R?","RES SMD 220 OHM 5% 1/10W 0603"
"RES_2K2_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-2.20KHRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603FR-072K2L","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","1%","","","2K2","","","","R?","RES SMD 2.2K OHM 1% 1/10W 0603"
"RES_30K_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-30KDCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RT0603DRD0730KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","0.5%","","","30K","","","","R?","RES SMD 30K OHM 0.5% 1/10W 0603"
"RES_43K_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-43KGRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603JR-0743KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","43K","","","","R?","RES SMD 43K OHM 5% 1/10W 0603"
"RES_4K7_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-4.7KGRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603JR-074K7L","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","4K7","","","","R?","RES SMD 4.7K OHM 5% 1/10W 0603"
"RES_4M7_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-4.70MHRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603FR-074M7L","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","1%","","","4.7M","","","","R?","RES SMD 4.7M OHM 1% 1/10W 0603"
"RES_698K_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-698KHRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603FR-07698KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","1%","","","698K","","","","R?","RES SMD 698K OHM 1% 1/10W 0603"
"RES_750R_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-750GRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603JR-07750RL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","750R","","","","R?","RES SMD 78.7K OHM 1% 1/10W 0603"
"RES_75K_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-75KDCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RT0603DRD0775KL","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","0.5%","","","75K","","","","R?","RES SMD 75K OHM 0.5% 1/10W 0603"
"RES_78K7_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-78.7KHRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603FR-0778K7L","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","5%","","","78K7","","","","R?","RES SMD 78.7K OHM 1% 1/10W 0603"
"RES_84K5_0603","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","311-84.5KHRCT-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","RC0603FR-0784K5L","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","","","1%","","","84K5","","","","R?","RES SMD 84.5K OHM 1% 1/10W 0603"
"RES_UNKNOWN","RESC0603(1608)_N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R?",""
"STM32F091RC","STM_LQFP64_N","","","","","","","STM32F091RC","Datasheet","https://www.st.com/content/ccc/resource/technical/document/datasheet/95/3c/2e/5b/21/09/45/a6/DM00115237.pdf/files/DM00115237.pdf/jcr:content/translations/en.DM00115237.pdf#%5B%7B%22num%22%3A96%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C67%2C755%2Cnull%5D","","","","","","","","","","497-15167-ND","","","","","","","","STMicroelectronics","","","","","","","","","STM32F091RC","","","","","","","","","","","","","","64-LQFP","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"SW_PWR","PTS830GM140","","","","","","","","Datasheet","https://www.ckswitches.com/media/1478/pts830.pdf","","","","","","","","","","CKN10587CT-ND","","","","","","","","C&K","","","","","","","","","PTS830GM140 SMTR LFS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S?","Power Switch (Red)"
"SW_SIGNAL","B3U-1100P","","","","","","","","","","","","","","","","","","","SW1021TR-ND","","","","","","","","Omron Electronics Inc-EMC Div","","","","","","","","","B3U-1100P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S?","Tactile Switch (Grey)"
"SW_TACTILE","B3U-1100P","","","","","","","","","","","","","","","","","","","SW1021TR-ND","","","","","","","","Omron Electronics Inc-EMC Div","","","","","","","","","B3U-1100P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S?","Tactile Switch (Grey)"
"TERMINAL_2","OSTYK51102030","","","","","","","","","","","","","","","","","","","ED2953-ND","","","","","","","","On Shore Technology Inc.","","","","","","","","","OSTYK51102030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P?","Header, 2-Pin"
"TIM_555","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"TL081BCDG4","TL081BCDG4","","","","","","","*","","","","","","","","","","","","296-34259-5-ND","","","","","","","","Texas Instruments","","","","","","","","","TL081BCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC OPAMP JFET 3MHZ 8SOIC"
"TVS_DIODE_CAN","NXP-SOT323-3","","","","","","","","Datasheet","https://assets.nexperia.com/documents/data-sheet/PESD1CAN-U.pdf","","","","","","","","","","1727-3891-1-ND","","","","","","","","Nexperia USA Inc.","","","","","","","","","PESD2CAN,215","","","","","","","","","","","","","","SC-70, SOT-323","","","","","","","","","","","","","","","","","","","","","","","*","D?","TVS DIODE 24V 41V SOT323-3"
